column,count_mean,count_std,mean_mean,mean_std,std_mean,std_std,min_mean,min_std,q25_mean,q25_std,q50_mean,q50_std,q75_mean,q75_std,max_mean,max_std
mean_correct,132364.0,27319.226751791295,0.0,0.0,1.0000053,5.813776741520402e-06,-2.0072049,0.07596940148846633,-0.5009006,0.051564888994251455,0.22898505,0.05194275329880508,0.9069476999999999,0.07879007986990026,1.09793325,0.05530354073453456
start_time,132364.0,27319.226751791295,66160.2686314,13655.489644043913,38197.87038345,7883.971302080646,0.0,0.0,33080.4,6827.77113801846,66160.3,13655.537943883504,99240.35,20483.26340133381,132319.75,27310.781402752782
time_on_task,132364.0,27319.226751791295,0.0,0.0,1.0000053,5.813776741520402e-06,-0.8457329,0.03368388471611345,-0.65005135,0.013132571918205561,-0.36382245,0.010726901664187943,0.23809445,0.027409321446458017,4.33291265,0.07221591485354305
